Index,datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error,
1,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
2,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
3,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
4,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
5,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
6,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
7,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
8,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
9,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
10,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
11,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
12,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
13,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
14,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
15,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
16,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
17,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
18,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
19,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
20,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
21,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
22,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
23,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
24,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
25,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
26,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
27,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
28,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
29,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
30,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
31,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
32,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
33,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
34,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
35,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
36,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
37,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
38,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
39,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
40,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
41,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
42,1,1,5731236,2.5624E+11,0,4176904,275679392,0,
43,1,1,5778545,2.58326E+11,0,4213291,278080990,0,
44,1,1,5845135,2.6133E+11,0,4259322,281119036,0,
45,1,1,5914695,2.64429E+11,0,4313320,284682904,0,
46,1,1,5980193,2.67432E+11,0,4360277,287782078,0,
47,1,1,6046740,2.70477E+11,0,4404459,290698090,0,
48,1,1,6110289,2.7332E+11,0,4451604,293809636,0,
49,1,1,6180140,2.76497E+11,0,4497599,296845378,0,
50,1,1,6250773,2.79684E+11,0,4547128,300114292,0,
51,1,1,6322758,2.82901E+11,0,4601630,303711852,0,
52,1,1,6390496,2.85951E+11,0,4651018,306971460,0,
53,1,1,6454744,2.88841E+11,0,4699143,310147710,0,
54,1,1,6515332,2.91561E+11,0,4745538,313209780,0,
55,1,1,6580949,2.94499E+11,0,4796208,316554000,0,
56,1,1,6650118,2.9761E+11,0,4848026,319973988,0,
57,1,1,6716597,3.0057E+11,0,4896918,323200860,0,
58,1,1,6778207,3.0333E+11,0,4945435,326402982,0,
59,1,1,6844699,3.06392E+11,0,4990162,329355168,0,
60,1,1,6909266,3.09356E+11,0,5032053,332119974,0,
61,1,1,6970371,3.12139E+11,0,5071562,334727604,0,
62,1,1,7039779,3.15252E+11,0,5124351,338211678,0,
63,1,1,7058868,3.16111E+11,0,5137625,339087762,0,
64,1,1,7058868,3.16111E+11,0,5137625,339087762,0,
